Capture_22:222,
484.468,734.85
484.83,769.13
485.192,742.2
485.554,756.89
485.915,720.17
486.277,754.44
486.639,727.51
487,710.37
487.362,786.26
487.724,732.41
488.085,705.48
488.447,766.68
488.808,712.82
489.169,820.53
489.531,749.54
489.892,725.06
490.253,707.93
490.614,720.17
490.976,783.81
491.337,771.57
491.698,729.96
492.059,771.57
492.42,756.89
492.781,783.81
493.141,774.02
493.502,796.05
493.863,734.85
494.224,781.37
494.584,783.81
494.945,685.89
495.306,698.13
495.666,710.37
496.027,690.79
496.387,715.27
496.748,744.65
497.108,771.57
497.468,742.2
497.829,683.45
498.189,729.96
498.549,744.65
498.909,705.48
499.269,720.17
499.629,725.06
499.989,565.94
500.349,710.37
500.709,710.37
501.069,732.41
501.429,676.1
501.789,695.69
502.148,663.86
502.508,707.93
502.868,666.31
503.227,720.17
503.587,651.62
503.946,778.92
504.306,678.55
504.665,720.17
505.025,707.93
505.384,751.99
505.743,722.61
506.103,707.93
506.462,644.28
506.821,703.03
507.18,774.02
507.539,725.06
507.898,732.41
508.257,754.44
508.616,651.62
508.975,666.31
509.334,759.33
509.692,710.37
510.051,734.85
510.41,688.34
510.768,656.52
511.127,707.93
511.486,722.61
511.844,778.92
512.203,712.82
512.561,656.52
512.919,732.41
513.278,759.33
513.636,756.89
513.994,774.02
514.352,744.65
514.71,676.1
515.069,766.68
515.427,722.61
515.785,764.23
516.143,813.19
516.5,729.96
516.858,742.2
517.216,710.37
517.574,715.27
517.932,705.48
518.289,742.2
518.647,641.83
519.005,707.93
519.362,808.29
519.72,729.96
520.077,681
520.434,703.03
520.792,698.13
521.149,629.59
521.506,727.51
521.864,732.41
522.221,622.25
522.578,707.93
522.935,776.47
523.292,683.45
523.649,685.89
524.006,717.72
524.363,727.51
524.72,742.2
525.076,769.13
525.433,710.37
525.79,673.65
526.146,756.89
526.503,661.41
526.86,707.93
527.216,688.34
527.573,656.52
527.929,722.61
528.285,678.55
528.642,712.82
528.998,751.99
529.354,749.54
529.711,729.96
530.067,703.03
530.423,725.06
530.779,710.37
531.135,668.76
531.491,756.89
531.847,676.1
532.203,739.75
532.558,693.24
532.914,771.57
533.27,751.99
533.626,695.69
533.981,732.41
534.337,783.81
534.692,700.58
535.048,666.31
535.403,681
535.759,729.96
536.114,793.61
536.469,703.03
536.825,764.23
537.18,742.2
537.535,727.51
537.89,754.44
538.245,827.88
538.6,676.1
538.955,739.75
539.31,776.47
539.665,769.13
540.02,751.99
540.375,769.13
540.729,781.37
541.084,727.51
541.439,722.61
541.793,793.61
542.148,703.03
542.502,700.58
542.857,712.82
543.211,769.13
543.566,871.94
543.92,1253.83
544.274,1579.41
544.629,1904.99
544.983,1564.72
545.337,1366.43
545.691,1263.62
546.045,1080.02
546.399,933.14
546.753,818.09
547.107,810.74
547.461,808.29
547.814,913.56
548.168,781.37
548.522,737.3
548.876,788.71
549.229,796.05
549.583,820.53
549.936,808.29
550.29,835.22
550.643,800.95
550.997,893.97
551.35,818.09
551.703,849.91
552.057,800.95
552.41,916.01
552.763,810.74
553.116,908.66
553.469,857.25
553.822,906.21
554.175,928.25
554.528,867.05
554.881,945.38
555.234,849.91
555.586,918.45
555.939,911.11
556.292,938.04
556.644,820.53
556.997,925.8
557.349,935.59
557.702,920.9
558.054,911.11
558.407,891.53
558.759,947.83
559.111,928.25
559.464,901.32
559.816,886.63
560.168,999.24
560.52,950.28
560.872,960.07
561.224,1028.61
561.576,933.14
561.928,881.73
562.28,999.24
562.632,999.24
562.983,1009.03
563.335,1001.68
563.687,916.01
564.038,989.44
564.39,901.32
564.742,1062.88
565.093,884.18
565.444,938.04
565.796,1004.13
566.147,964.96
566.498,1016.37
566.85,1065.33
